"","GENUS_SPECIES"
"24854","Lora cancellata"
"24855","Paradulichia typica"
"24856","Erythrops microps"
"24857","Molpadia borealis"
"24858","Ringicula nitida"
"24859","Synapta "
"24860","Paranymphon spinosum"
"24861","Trophon "
"24862","Dendrobeania "
"24863","Leptocuma "
"24864","Cuspidaria rostrata"
"24865","Dasmosmilia "
"24866","Argonauta "
"24867","Mediaster bairdi"
"24868","Odontaster setosus"
"24869","Benthochascon schmitti"
"24870","Defrancia "
"24871","Kinetoskias smitti"
"24872","Ophiopleura inermis"
"24873","Porella "
"24874","Epizoanthus paguriphilus"
"24875","Lophaster "
"24876","Paragorgia arborea"
"24877","Stephanauge nexilis"
"24878","Actinauge verrilli"
"24879","Pycnogonum crassirostre"
"24880","Phelliactis americana"
"24881","Cucumaria nina"
"24882","Cuspidaria parva"
"24883","Hemilamprops cristata"
"24884","Yoldiella lucida"
"24885","Diplopteraster "
"24886","Epizoanthus abyssorum"
"24887","Porella smitti"
"24888","Echinus gracilis"
"24889","Diastylis rostrata"
"24890","Siphonoecetes smithianus"
"24891","Andaniopsis "
"24892","Andaniopsis nordlandica"
"24893","Codonidae "
"24894","Psilaster "
"24895","Odontaster "
"24896","Bostrichobranchus "
"24897","Panomya "
"24898","Eumunida picta"
"24899","Yoldiella inconspicua"
"24900","Haplota clavata"
"24901","Hexasterias "
"24902","Epizoanthus incrustatus"
"24903","Euspira levicula"
"24904","Scutelleridae "
"24905","Lischkeia ottoi"
"24906","Chondraster grandis"
"24907","Ekmania barthii"
"24908","Turtonia "
"24909","Anoplodactylus parvus"
"24910","Polyschides agassizii"
"24911","Spirontocaris pusiola"
"24912","Cliona undulatus"
"24913","Brisinga "
"24914","Architectonica "
"24915","Acirsa borealis"
"24916","Golfingia eremita"
"24917","Tachyrhynchus "
"24918","Oenopota pingelii"
"24919","Hymenopenaeus "
"24920","Amphioplus tumidus"
"24921","Nephropidae "
"24922","Acanthohaustorius spinosus"
"24923","Euprognatha "
"24924","Bythocaris nana"
"24925","Polycheles "
"24926","Pontaster "
"24927","Metacrangon jacquetii"
"24928","Pleurotomella agassizi"
"24929","Odontaster hispidus"
"24930","Cardiomya abyssicola"
"24931","Thyasira equalis"
"24932","Hippodiplosia propinqua"
"24933","Bugula aquilirostris"
"24934","Propebela exarata"
"24935","Achelia spinosa"
"24936","Poraniidae "
"24937","Sphyrion lumpi"
"24938","Buccinum gouldii"
"24939","Mysis stenolepis"
"24940","Neolithodes grimaldii"
"24941","Architeuthis "
"24942","Plesionika longipes"
"24943","Ischnochiton exaratus"
"24944","Torellia vestita"
"24945","Ophiura ljungmani"
"24946","Pasiphaea princeps"
"24947","Nymphon spinosissimum"
"24948","Echinus affinis"
"24949","Ammothella rugulosa"
"24950","Thyasira elliptica"
"24951","Mitrella dissimilis"
"24952","Axinulus croulinensis"
"24953","Pycnogonum "
"24954","Bathyarca anomala"
"24955","Cavolina unicinata"
"24956","Unciola spicata"
"24957","Nematocarcinus rotundus"
"24958","Ascidia obliqua"
"24959","Lafystius sturionis"
"24960","Protomedia "
"24961","Plutonaster agassizi"
"24962","Acanella arbuscula"
"24963","Couthouyella striatula"
"24964","Astrangia "
"24965","Munnopsis "
"24966","Antholoba perdix"
"24967","Argonauta argo"
"24968","Syscenus infelix"
"24969","Cuspidaria pellucida"
"24970","Pterasteridae "
"24971","Mitrella pura"
"24972","Thyasira subovata"
"24973","Yoldiella inflata"
"24974","Natatolana borealis"
"24975","Peachia parasitica"
"24976","Colus obesus"
"24977","Hemiarthrus "
"24978","Bulbus smithii"
"24979","Amblyops "
"24980","Yoldiella iris"
"24981","Stylocordyla borealis"
"24982","Uca pugilator"
"24983","Elysia catulus"
"24984","Odostomia sumneri"
"24985","Anonyx compactus"
"24986","Rhachotropis distincta"
"24987","Stenopleustes "
"24988","Sipunculus norvegicus"
"24989","Thelidioteuthis alessandrinii"
"24990","Pseudomalletia obtusa"
"24991","Gammaropsis melanops"
"24992","Metopa groenlandica"
"24993","Triticella pedicellata"
"24994","Periploma affine"
"24995","Calocaris "
"24996","Goniaster "
"24997","Rochinia tanneri"
"24998","Cidaris abyssicola"
"24999","Hornera "
"25000","Nuculana caudata"
"25001","Tessaradoma gracile"
"25002","Talorchestia longicornis"
"25003","Gnathia cerina"
"25004","Uca pugnax"
"25005","Amphiblestrum septentrionalis"
"25006","Dreissenidae "
"25007","Poecilasma inaequilaterale"
"25008","Polyschides rushii"
"25009","Brisingidae "
"25010","Liponema multicornis"
"25011","Plesionika willisi"
"25012","Adamsia "
"25013","Oncousoecia "
"25014","Lepralia "
"25015","Cylindroporella "
"25016","Diaperoecia "
"25017","Hippodiplosia obesa"
"25018","Hippoporella hippopus"
"25019","Hippothoa expansa"
"25020","Oncousoecia canadensis"
"25021","Plesiopenaeus "
"25022","Limopsis affinis"
"25023","Costazia "
"25024","Flustra "
"25025","Entalinopsis callithrix"
"25026","Compressidens pressus"
"25027","Rocinela "
"25028","Disporella "
"25029","Flustrellaria whiteavesi"
"25030","Hemicyclopora emucronata"
"25031","Myriapora coarctata"
"25032","Parasmittina jeffreysi"
"25033","Protobonellia "
"25034","Tubulipora lobulata"
"25035","Paxillosida "
"25036","Novodinia "
"25037","Metridium "
"25038","Amphiura fragilis"
"25039","Plesionika acanthonotus"
"25040","Colus ventricosus"
"25041","Notoplites harmeri"
"25042","Diastopora repens"
"25043","Nephropsis "
"25044","Issena "
"25045","Palliolum subimbrifer"
"25046","Phippsiella minima"
"25047","Turbonilla bushiana"
"25048","Dendrobeania pseudomurrayana"
"25049","Asteroschematidae "
"25050","Ophiomusium lymani"
"25051","Ophioplinthus tessellata"
"25052","Nematocarcinus cursor"
"25053","Mendicula pygmaea"
"25054","Branchiostomidae "
"25055","Caecidotea communis"
"25056","Solemya borealis"
"25057","Lepeta "
"25058","Scaphander nobilis"
"25059","Glyphocrangon longirostris"
"25060","Hygrosoma petersii"
"25061","Ommastrephes bartramii"
"25062","Smittina bella"
"25063","Hyale prevosti"
"25064","Carbasea carbasea"
"25065","Colus glyptus"
"25066","Nymphon giltayi"
"25067","Pseudarachna "
"25068","Epitonium championi"
"25069","Nerocila acuminata"
"25070","Stoloteuthis leucoptera"
"25071","Forcipulatida "
"25072","Coryphella stimpsoni"
"25073","Pedicellaster "
"25074","Gammarus obtusatus"
"25075","Marinogammarus stoerensis"
"25076","Pseudosagitta lyra"
"25077","Ocypode quadrata"
"25078","Asterias tenera"
"25079","Admete contabulata"
"25080","Arbacia "
"25081","Ophioderma brevispina"
"25082","Paroediceros "
"25083","Mesodesma "
"25084","Melampus "
"25085","Hiatella striata"
"25086","Dentalium calamus"
"25087","Aeginella spinosa"
"25088","Dulichia tuberculata"
"25089","Hemilamprops "
"25090","Portlandia minuscula"
"25091","Gitanopsis bispinosa"
"25092","Alvania harpa"
"25093","Dulichia falcata"
"25094","Leptostylis ampullacea"
"25095","Paralamprops "
"25096","Lamprops fuscatus"
"25097","Balaenoptera bonaerensis"
"25098","Venusia pearsalli"
"25099","Euxoa vetusta"
"25100","Panthea portlandia"
"25101","Phlogophora periculosa"
"25102","Pero behrensaria"
"25103","Ceratodalia gueneata"
"25104","Hyppa xylinoides"
"25105","Evergestis funalis"
"25106","Synedoida ochracea"
"25107","Stamnodes blackmorei"
"25108","Selenia alciphearia"
"25109","Lacanobia lutra"
"25110","Parabagrotis sulinaris"
"25111","Phyllodesma americana"
"25112","Semiothisa signaria"
"25113","Venusia cambrica"
"25114","Eurois astricta"
"25115","Lacinipolia cuneata"
"25116","Perizoma grandis"
"25117","Syngrapha celsa"
"25118","Eupithecia subcolorata"
"25119","Campaea perlata"
"25120","Nepytia umbrosaria"
"25121","Pero mizon"
"25122","Iridopsis emasculata"
"25123","Euxoa satis"
"25124","Lacinipolia rectilinea"
"25125","Lacinipolia olivacea"
"25126","Euxoa divergens"
"25127","Herpetogramma pertextalis"
"25128","Homorthodes furfurata"
"25129","Caripeta divisata"
"25130","Hydria undulata"
"25131","Nematocampa resistaria"
"25132","Idia americalis"
"25133","Dysstroma citrata"
"25134","Parabagrotis exertistigma"
"25135","Pyrausta subsequalis"
"25136","Eupithecia graefii"
"25137","Noctua pronuba"
"25138","Hydriomena renunciata"
"25139","Sericosema juturnaria"
"25140","Pero occidentalis"
"25141","Homorthodes discreta"
"25142","Perigonica angulata"
"25143","Perigonica pectinata"
"25144","Tolype distincta"
"25145","Zotheca tranquilla"
"25146","Hemeroplanis finitima"
"25147","Eupithecia misturata"
"25148","Semiothisa burneyata"
"25149","Homorthodes communis"
"25150","Diarsia esurialis"
"25151","Nemoria darwiniata"
"25152","Eustroma semiatrata"
"25153","Cucullia florea"
"25154","Aseptis binotata"
"25155","Nadata gibbosa"
"25156","Homorthodes hanhami"
"25157","Sicya crocearia"
"25158","Eustroma fasciata"
"25159","Eupithecia columbrata"
"25160","Choristoneura rosaceana"
"25161","Adelphagrotis stellaris"
"25162","Scopula junctaria"
"25163","Hesperumia latipennis"
"25164","Crymodes devastator"
"25165","Xanthorhoe pontiaria"
"25166","Hydriomena furcata"
"25167","Thallophaga taylorata"
"25168","Triphosa haesitata"
"25169","Xestia oblata"
"25170","Egira rubrica"
"25171","Plemyria georgii"
"25172","Chytolita morbidalis"
"25173","Enypia packardata"
"25174","Perizoma curvilinea"
"25175","Ecliptopera silaceata"
"25176","Achytonix epipaschia"
"25177","Plagodis phlogosaria"
"25178","Lasionycta perplexa"
"25179","Clemensia albata"
"25180","Archips argyrospila"
"25181","Drepanulatrix secundaria"
"25182","Achytonix praeacuta"
"25183","Anaplectoides prasina"
"25184","Lophocampa maculata"
"25185","Andropolia aedon"
"25186","Agrotis obliqua"
"25187","Eupithecia perfusca"
"25188","Dysstroma truncata"
"25189","Pseudorthodes irrorata"
"25190","Eulithis destinata"
"25191","Anagoga occiduaria"
"25192","Euxoa comosa"
"25193","Pseudothyatira cymatophoroides"
"25194","Leucania insueta"
"25195","Orthosia hibisci"
"25196","Gabriola dyari"
"25197","Autographa sansoni"
"25198","Epirrhoe alternata"
"25199","Neoalcis californiaria"
"25200","Orthosia revicta"
"25201","Syngrapha epigaea"
"25202","Dysstroma sobria"
"25203","Orthosia transparens"
"25204","Properigea albimacula"
"25205","Xestia mustelina"
"25206","Mycterophora rubricans"
"25207","Platyperigea montana"
"25208","Drepanulatrix quadraria"
"25209","Aethalura intertexta"
"25210","Spargania magnoliata"
"25211","Scoliopteryx libatrix"
"25212","Drepanulatrix carnearia"
"25213","Eupithecia agnesata"
"25214","Hypena humuli"
"25215","Anaplectoides pressus"
"25216","Egira simplex"
"25217","Eudrepanulatrix rectifascia"
"25218","Lacanobia tacoma"
"25219","Hyles lineata"
"25220","Eulithis harveyata"
"25221","Eupithecia subfuscata"
"25222","Pero morrisonaria"
"25223","Grammia ornata"
"25224","Apamea lignicolora"
"25225","Euxoa infausta"
"25226","Aseptis ethnica"
"25227","Euthyatira semicircularis"
"25228","Oncocnemis semicollaris"
"25229","Lophocampa argentata"
"25230","Polia nimbosa"
"25231","Euphyia unangulata"
"25232","Xanthorhoe defensaria"
"25233","Mniotype ducta"
"25234","Agrotis ipsilon"
"25235","Euxoa biformata"
"25236","Hydriomena irata"
"25237","Anticlea vasiliata"
"25238","Xestia finitima"
"25239","Lacanobia liquida"
"25240","Syngrapha rectangula"
"25241","Perizoma costiguttata"
"25242","Neoterpes trianguliferata"
"25243","Probole alienaria"
"25244","Eupithecia sabulosata"
"25245","Synaxis cervinaria"
"25246","Hesperumia sulphuraria"
"25247","Choristoneura occidentalis"
"25248","Hydriomena marinata"
"25249","Semiothisa ulsterata"
"25250","Euxoa simona"
"25251","Euxoa tessellata"
"25252","Euxoa idahoensis"
"25253","Pleromelloida obliquata"
"25254","Crambus leachellus"
"25255","Acronicta grisea"
"25256","Caripeta aequaliaria"
"25257","Cyclophora dataria"
"25258","Feralia deceptiva"
"25259","Graphiphora haruspica"
"25260","Euxoa terrena"
"25261","Furcula scolopendrina"
"25262","Apamea amputatrix"
"25263","Cryphia cuerva"
"25264","Parabagrotis insularis"
"25265","Polia purpurissata"
"25266","Prochoerodes forficaria"
"25267","Coloradia pandora"
"25268","Rhyacia quadrangula"
"25269","Rhynchagrotis exertistigma"
"25270","Melanolophia imitata"
"25271","Protoperigea anotha"
"25272","Zosteropoda hirtipes"
"25273","Aseptis adnixa"
"25274","Acronicta hesperida"
"25275","Callizzia amorata"
"25276","Spilosoma pteridis"
"25277","Stretchia muricina"
"25278","Lithacodia albidula"
"25279","Agroperina dubitans"
"25280","Spaelotis havilae"
"25281","Mesogona rubra"
"25282","Dysstroma ochrofuscaria"
"25283","Anomogyna vernilis"
"25284","Eupithecia olivacea"
"25285","Euchlaena johnsonaria"
"25286","Andropolia theodori"
"25287","Pyla fusca"
"25288","Itame confederata"
"25289","Lacinipolia pensilis"
"25290","Stretchia plusiaeformis"
"25291","Phobolosia anfracta"
"25292","Pseudorthosia variabilis"
"25293","Euchlaena tigrinaria"
"25294","Xestia smithii"
"25295","Drepanulatrix unicalcararia"
"25296","Synaxis jubararia"
"25297","Synaxis pallulata"
"25298","Cerastis enigmatica"
"25299","Cucullia intermedia"
"25300","Hyalophora euryalus"
"25301","Apamea castanea"
"25302","Feralia comstocki"
"25303","Autographa corusca"
"25304","Lacinipolia davena"
"25305","Eupithecia gilvipennata"
"25306","Orthosia pacifica"
"25307","Hydriomena speciosata"
"25308","Udea itysalis"
"25309","Pyrausta fodinalis"
"25310","Smerinthus cerisyi"
"25311","Abagrotis pulchrata"
"25312","Agrochola pulchella"
"25313","Properigea niveirena"
"25314","Stamnoctenis pearsalli"
"25315","Xanthorhoe macdunnoughi"
"25316","Bomolocha palparia"
"25317","Eupithecia unicolor"
"25318","Idia aemula"
"25319","Lambdina fiscellaria"
"25320","Pleromella opter"
"25321","Pseudobryomima muscosa"
"25322","Amphipoea americana"
"25323","Spilosoma virginica"
"25324","Oncocnemis figurata"
"25325","Polia discalis"
"25326","Schizura unicornis"
"25327","Sabulodes aegrotata"
"25328","Pronoctua typica"
"25329","Sphinx vashti"
"25330","Sunira decipiens"
"25331","Udea profundalis"
"25332","Xanthorhoe munitata"
"25333","Lithophane georgii"
"25334","Anavitrinella pampinaria"
"25335","Zenophleps lignicolorata"
"25336","Syngrapha orophila"
"25337","Apamea alia"
"25338","Litholomia napaea"
"25339","Egira crucialis"
"25340","Melanchra adjuncta"
"25341","Abagrotis placida"
"25342","Cladara limitaria"
"25343","Ectropis crepuscularia"
"25344","Apamea antennata"
"25345","Hyppa brunneicrista"
"25346","Eupithecia harveyata"
"25347","Habrosyne scripta"
"25348","Synedoida adumbrata"
"25349","Apamea occidens"
"25350","Hecatera sutrina"
"25351","Aplectoides condita"
"25352","Biston betularia"
"25353","Protoboarmia porcelaria"
"25354","Lacinipolia illaudabilis"
"25355","Oncocnemis columbia"
"25356","Acronicta impleta"
"25357","Drepanulatrix foeminaria"
"25358","Drepanulatrix falcataria"
"25359","Dasychira grisefacta"
"25360","Feltia herilis"
"25361","Egira perlubens"
"25362","Enypia venata"
"25363","Philedia punctomacularia"
"25364","Xestia infimatis"
"25365","Apamea atriclava"
"25366","Setagrotis planifrons"
"25367","Coryphista meadii"
"25368","Dysstroma brunneata"
"25369","Itame decorata"
"25370","Spilosoma vestalis"
"25371","Hydriomena perfracta"
"25372","Hyppa indistincta"
"25373","Apamea acera"
"25374","Asticta victoria"
"25375","Hydraecia medialis"
"25376","Leucania farcta"
"25377","Orthosia pulchella"
"25378","Acerra normalis"
"25379","Eupithecia maestosa"
"25380","Nola minna"
"25381","Synedoida divergens"
"25382","Eupithecia miserulata"
"25383","Pyrrharctia isabella"
"25384","Eupithecia annulata"
"25385","Abagrotis apposita"
"25386","Drepanulatrix monicaria"
"25387","Eupithecia ravocostaliata"
"25388","Abagrotis baueri"
"25389","Brachylomia rectifascia"
"25390","Fishia evelina"
"25391","Heliothis phloxiphagus"
"25392","Euplexia benesimilis"
"25393","Abagrotis scopeops"
"25394","Sphinx perelegans"
"25395","Pleromelloida cinerea"
"25396","Synedoida sabulosa"
"25397","Lacanobia subjuncta"
"25398","Ceranemota improvisa"
"25399","Rhynchagrotis insularis"
"25400","Semiothisa californiaria"
"25401","Spaelotis bicava"
"25402","Lacinipolia strigicollis"
"25403","Bleptina caradrinalis"
"25404","Protorthodes curtica"
"25405","Bomolocha abalienalis"
"25406","Chlorosea banksaria"
"25407","Zale lunata"
"25408","Eupithecia cretaceata"
"25409","Setagrotis corrodera"
"25410","Euxoa plagigera"
"25411","Autographa californica"
"25412","Papestra cristifera"
"25413","Antheraea polyphemus"
"25414","Sabulodes edwardsata"
"25415","Dysstroma formosa"
"25416","Xestia c-nigrurn"
"25417","Zale minerea"
"25418","Ecliptoptera silaceata"
"25419","Clostera apicalis"
"25420","Cabera erythemaria"
"25421","Cyclophora pendulinaria"
"25422","Dasypyga alternosquamella"
"25423","Setagrotis atrifrons"
"25424","Schizura ipomoeae"
"25425","Ceranemota tearlei"
"25426","Abagrotis trigona"
"25427","Oncocnemis sandaraca"
"25428","Platypolia contadina"
"25429","Dargida procincta"
"25430","Nepytia phantasmaria"
"25431","Setagrotis piscipellis"
"25432","Amphipyra pyramidoides"
"25433","Pheosia portlandia"
"25434","Eulithis propulsata"
"25435","Acronicta impressa"
"25436","Lacanobia nevadae"
"25437","Oligia illocata"
"25438","Oncocnemis greyi"
"25439","Apodrepanulatrix litaria"
"25440","Gluphisia severa"
"25441","Synchlora aerata"
"25442","Epirranthis substriataria"
"25443","Hydriomena manzanita"
"25444","Peridroma saucia"
"25445","Pyrausta grotei"
"25446","Itame bitactata"
"25447","Adelphagrotis indeterminata"
"25448","Pleromelloida conserta"
"25449","Spodoptera praefica"
"25450","Euxoa brunneigera"
"25451","Euxoa obeliscoides"
"25452","Stenoporpia pulmonaria"
"25453","Itame quadrilinearia"
"25454","Oligocentria pallida"
"25455","Lacinipolia patalis"
"25456","Aplocera plagiata"
"25457","Idaea demissaria"
"25458","Behrensia conchiformis"
"25459","Oligocentria semirufescens"
"25460","Phryganidia californica"
"25461","Autographa speciosa"
"25462","Eurois occulta"
"25463","Diarsia rosaria"
"25464","Eupithecia georgii"
"25465","Dysstroma hersiliata"
"25466","Protitame matilda"
"25467","Apamea finitima"
"25468","Autographa metallica"
"25469","Euthyatira lorata"
"25470","Abagrotis nefascia"
"25471","Egira curialis"
"25472","Apamea spaldingi"
"25473","Syngrapha viridisigma"
"25474","Abagrotis erratica"
"25475","Hepialus mathewi"
"25476","Lacinipolia vicina"
"25477","Melipotis jucunda"
"25478","Xanthorhoe labradorensis"
"25479","Xestia perqueritata"
"25480","Saucrobotys fumoferalis"
"25481","Pseudaletia unipuncta"
"25482","Thera otisi"
"25483","Orthosia praeses"
"25484","Dysstroma mancipata"
"25485","Pyrausta semirubralis"
"25486","Rivula propinqualis"
"25487","Oncocnemis extremis"
"25488","Lithophane innominata"
"25489","Itame plumosata"
"25490","Chytonix divesta"
"25491","Xylena thoracica"
"25492","Orgyia pseudotsugata"
"25493","Apharetra californiae"
"25494","Acronicta funeralis"
"25495","Ennomos magnaria"
"25496","Lithophane contenta"
"25497","Oncocnemis youngi"
"25498","Dryotype opina"
"25499","Epirrita autumnata"
"25500","Agrochola purpurea"
"25501","Orthonama centrostrigaria"
"25502","Catocala relicta"
"25503","Orthosia mys"
"25504","Miselia variolata"
"25505","Scopula sideraria"
"25506","Heliothis zea"
"25507","Euxoa declarata"
"25508","Euxoa pleuritica"
"25509","Apamea auranticolor"
"25510","Nacophora mexicanaria"
"25511","Crassivesica bocha"
"25512","Drepana bilineata"
"25513","Papestra brenda"
"25514","Cucullia similaris"
"25515","Drepana arcuata"
"25516","Eupithecia tripunctaria"
"25517","Spargaloma sexpunctata"
"25518","Pyrausta unifascialis"
"25519","Leucania anteoclara"
"25520","Eupithecia columbiata"
"25521","Abagrotis reedi"
"25522","Hypagyrtis unipunctata"
"25523","Xylena curvimacula"
"25524","Abagrotis variata"
"25525","Xylotype acadia"
"25526","Udea washingtonalis"
"25527","Nycteola frigidana"
"25528","Lacanobia lilacina"
"25529","Agroperina lateritia"
"25530","Acronicta perdita"
"25531","Agrotis vancouverensis"
"25532","Anepia ectrapela"
"25533","Lobophora simsata"
"25534","Anepia jola"
"25535","Semiothisa neptaria"
"25536","Euxoa atomaris"
"25537","Euxoa messoria"
"25538","Trichoplusia ni"
"25539","Apamea remissa"
"25540","Semiothisa denticulata"
"25541","Synedoida edwardsii"
"25542","Anticlea multiferata"
"25543","Oligia indirecta"
"25544","Autographa ampla"
"25545","Orthonama obstipata"
"25546","Nycteola cinereana"
"25547","Xylena cineritia"
"25548","Eupithecia luteata"
"25549","Ceranemota crumbi"
"25550","Oncocnemis meadiana"
"25551","Catocala allusa"
"25552","Pronoctua peabodyae"
"25553","Elpiste lorquinaria"
"25554","Mesogona olivata"
"25555","Euxoa auxiliaris"
"25556","Tyria jacobaeae"
"25557","Crambus pascuellus"
"25558","Trichodezia californiata"
"25559","Bomolocha bijugalis"
"25560","Ceranemota fasciata"
"25561","Protolampra rufipectus"
"25562","Chersotis juncta"
"25563","Entephria multivagata"
"25564","Dasychira vagans"
"25565","Venusia duodecemlineata"
"25566","Parabagrotis cupidissima"
"25567","Lithophane baileyi"
"25568","Tortricidia testacea"
"25569","Lacinipolia stricta"
"25570","Anomogyna infimatis"
"25571","Hemihyalea edwardsii"
"25572","Xestia dolosa"
"25573","Homoglaea dives"
"25574","Lithophane pertorrida"
"25575","Ufeus plicatus"
"25576","Euxoa septentrionalis"
"25577","Cosmia calami"
"25578","Pyrrhia exprimens"
"25579","Galgula partita"
"25580","Platypolia loda"
"25581","Acronicta radcliffei"
"25582","Sideridis rosea"
"25583","Abagrotis forbesi"
"25584","Zale termina"
"25585","Apamea vultuosa"
"25586","Malacosoma californicum"
"25587","Eupithecia nevadata"
"25588","Xanthorhoe ferrugata"
"25589","Nephelodes demaculata"
"25590","Amphipyra tragopoginis"
"25591","Papestra invalida"
"25592","Lacanobia radix"
"25593","Autographa pseudogamma"
"25594","Tesagrotis atrifrons"
"25595","Nycteola columbiana"
"25596","Syngrapha alias"
"25597","Eosphoropteryx thyatyroides"
"25598","Oligia tonsa"
"25599","Abagrotis glenni"
"25600","Xestia xanthographa"
"25601","Ipimorpha nanaimo"
"25602","Palthis angulalis"
"25603","Raphia frater"
"25604","Scopula luteolata"
"25605","Apamea cinefacta"
"25606","Mycterophora longipalpata"
"25607","Hemigraphiphora plebeia"
"25608","Triphosa californiata"
"25609","Eupithecia castellata"
"25610","Melanchra pulverulenta"
"25611","Oncocnemis dunbari"
"25612","Ochropleura plecta"
"25613","Zanclognatha jacchusalis"
"25614","Paonias excaecatus"
"25615","Xylena nupera"
"25616","Epidemas cinerea"
"25617","Phigalia plumogeraria"
"25618","Semiothisa adonis"
"25619","Discestra oregonica"
"25620","Synaxis fuscata"
"25621","Caenurgina erechtea"
"25622","Parabagrotis formalis"
"25623","Nadata oregonensis"
"25624","Metarranthis duaria"
"25625","Eupithecia coagulata"
"25626","Gluphisia septentrionis"
"25627","Lithophane dilatocula"
"25628","Catocala aholibah"
"25629","Mesoleuca ruficillata"
"25630","Orgyia antiqua"
"25631","Crambus unistriatellus"
"25632","Pseudanarta crocea"
"25633","Spodoptera exigua"
"25634","Fishia yosemitae"
"25635","Semiothisa unipunctaria"
"25636","Probole amicaria"
"25637","Oncocnemis parvanigra"
"25638","Euxoa altens"
"25639","Euxoa punctigera"
"25640","Euxoa aequalis"
"25641","Euxoa costata"
"25642","Heliothis phloxiphaga"
"25643","Euxoa catenula"
"25644","Egira februalis"
"25645","Datana neomexicana"
"25646","Xanthorhoe fossaria"
"25647","Eupithecia dichroma"
"25648","Synedoida edwardsi"
"25649","Euchlaena marginaria"
"25650","Cucullia postera"
"25651","Hepialus hectoides"
"25652","Stenoporpia dejecta"
"25653","Euxoa perexcellens"
"25654","Hydriomena edenata"
"25655","Rheumaptera subhastata"
"25656","Agelaius phoeniceus"
"25657","Bubulcus ibis"
"25658","Buteo lineatus"
"25659","Cardinalis cardinalis"
"25660","Chordeiles minor"
"25661","Colinus virginianus"
"25662","Columbina passerina"
"25663","Lanius ludovicianus"
"25664","Melanerpes carolinus"
"25665","Mimus polyglottos"
"25666","Pipilo erythrophthalmus"
"25667","Polioptila caerulea"
"25668","Progne subis"
"25669","Quiscalus major"
"25670","Quiscalus quiscula"
"25671","Strix varia"
"25672","Sturnella magna"
"25673","Toxostoma rufum"
"25674","Arremonops rufivirgatus"
"25675","Chondestes grammacus"
"25676","Chordeiles acutipennis"
"25677","Columbina inca"
"25678","Eremophila alpestris"
"25679","Geococcyx californianus"
"25680","Icterus cucullatus"
"25681","Melanerpes aurifrons"
"25682","Molothrus aeneus"
"25683","Molothrus ater"
"25684","Myiarchus tyrannulus"
"25685","Passerina ciris"
"25686","Picoides scalaris"
"25687","Quiscalus mexicanus"
"25688","Sayornis phoebe"
"25689","Spiza americana"
"25690","Toxostoma curvirostre"
"25691","Toxostoma longirostre"
"25692","Tyrannus couchii"
"25693","Tyrannus forficatus"
"25694","Aimophila aestivalis"
"25695","Aphelocoma coerulescens"
"25696","Caprimulgus carolinensis"
"25697","Chaetura pelagica"
"25698","Corvus brachyrhynchos"
"25699","Corvus ossifragus"
"25700","Dendroica pinus"
"25701","Elanoides forficatus"
"25702","Melanerpes erythrocephalus"
"25703","Sialia sialis"
"25704","Falco sparverius"
"25705","Otus asio"
"25706","Parus bicolor"
"25707","Speotyto cunicularia"
"25708","Dendroica dominica"
"25709","Parus carolinensis"
"25710","Tyrannus tyrannus"
"25711","Buteo albicaudatus"
"25712","Guiraca caerulea"
"25713","Protonotaria citrea"
"25714","Icterus spurius"
"25715","Sitta pusilla"
"25716","Icteria virens"
"25717","Picoides borealis"
"25718","Catharus mustelinus"
"25719","Aimophila cassinii"
"25720","Campylorhynchus brunneicapillus"
"25721","Carduelis psaltria"
"25722","Hirundo pyrrhonota"
"25723","Myiarchus cinerascens"
"25724","Parus atricristatus"
"25725","Pipilo fuscus"
"25726","Vireo bellii"
"25727","Megaceryle alcyon"
"25728","Limnothlypis swainsonii"
"25729","Seiurus motacilla"
"25730","Carduelis tristis"
"25731","Stelgidopteryx serripennis"
"25732","Helmitheros vermivorus"
"25733","Callipepla squamata"
"25734","Carpodacus mexicanus"
"25735","Corvus cryptoleucus"
"25736","Icterus parisorum"
"25737","Tyrannus verticalis"
"25738","Aeronautes saxatalis"
"25739","Archilochus alexandri"
"25740","Auriparus flaviceps"
"25741","Bubo virginianus"
"25742","Callipepla gambelii"
"25743","Camptostoma imberbe"
"25744","Colaptes chrysoides"
"25745","Icterus bullockii"
"25746","Melanerpes uropygialis"
"25747","Phainopepla nitens"
"25748","Pheucticus melanocephalus"
"25749","Polioptila melanura"
"25750","Pyrocephalus rubinus"
"25751","Salpinctes obsoletus"
"25752","Sayornis saya"
"25753","Sturnella neglecta"
"25754","Toxostoma crissale"
"25755","Vermivora luciae"
"25756","Aimophila ruficeps"
"25757","Buteo swainsoni"
"25758","Meleagris gallopavo"
"25759","Ictinia mississippiensis"
"25760","Ammodramus savannarum"
"25761","Troglodytes aedon"
"25762","Icterus galbula"
"25763","Seiurus aurocapillus"
"25764","Vermivora pinus"
"25765","Dendroica virens"
"25766","Aphelocoma californica"
"25767","Baeolophus ridgwayi"
"25768","Cardellina rubrifrons"
"25769","Carduelis pinus"
"25770","Columba fasciata"
"25771","Contopus sordidulus"
"25772","Cyanocitta stelleri"
"25773","Dendroica graciae"
"25774","Dendroica nigrescens"
"25775","Empidonax occidentalis"
"25776","Loxia curvirostra"
"25777","Melanerpes formicivorus"
"25778","Myioborus pictus"
"25779","Parus gambeli"
"25780","Parus wollweberi"
