"","GENUS_SPECIES"
"293","Setophaga virens"
"294","Sitta carolinensis"
"295","Sphyrapicus varius"
"296","Troglodytes hiemalis"
"297","Vireo olivaceus"
"298","Vireo philadelphicus"
"299","Vireo spec"
"300","Poecile atrcapillus"
"301","Yellow-throated Warbler"
"302","Setophaga caerulescens"
"303","Setophaga fusca"
"304","Black-capped chickadee"
"305","Blue jay"
"306","Brown creeper"
"307","Dark-eyed junco"
"308","Downy woodpecker"
"309","Hairy woodpecker"
"310","Ovenbird"
"311","Red-eyed vireo"
"312","Rose-breasted grosbeak"
"313","White-breasted nuthatch"
"314","Winter wren"
"315","Wood thrush"
"316","Dryocopus pileatus"
"317","Hermit Thrush"
"318","Swainsons Thrush"
"319","Yellow-bellied Sapsucker"
"320","Archilochus colubris"
"321","Contopus virens"
"322","Solitary Vireo"
"323","Bonasa umbellus"
"324","Red-breasted nuthatch"
"325","Dendroica coronata"
"326","Certhia americana"
"327","Cyanocitta cristata"
"328","Carpodacus purpureus"
"329","Turdus migratorius"
"330","Mniotilta varia"
"331","Accipiter striatus"
"332","Baeolophus bicolor"
"333","Caprimulgus vociferus"
"334","Cardinalidae "
"335","Cathartes aura"
"336","Colaptes auratus"
"337","Contopus spec"
"338","Coragyps atratus"
"339","Dendroica cerulea"
"340","Dendroica discolor"
"341","Dumetella carolinensis"
"342","Empidonax virescens"
"343","Geothlypis trichas"
"344","Helmitheros vermivorum"
"345","Melanerpus carolinus"
"346","Melospiza melodia"
"347","Myiarchus crinitus"
"348","Oporornis formosus"
"349","Parkesia motacilla"
"350","Passerina cyanea"
"351","Pipilo spec"
"352","Piranga rubra"
"353","Poecile carolinensis"
"354","Polioptilidae "
"355","Saxicolinae "
"356","Sayornis spec"
"357","Sialia spec"
"358","Spizella passerina"
"359","Spizella pusilla"
"360","Thryomanes bewickii"
"361","Thryothorus ludovicianus"
"362","Trochilidae "
"363","Vermivora cyanoptera"
"364","Vireo flavifrons"
"365","Vireo griseus"
"366","Wilsonia citrina"
"367","Zenaida macroura"
"368","Coccyzus erythropthalmus"
"369","Dendroica petechia"
"370","Bubo spec"
"371","Coccyzus americanus"
"372","Corvus spec"
"373","Megascops spec"
"374","Passer domesticus"
"375","Canthigaster solandri"
"376","Ctenogobiops feroculus"
"377","Echidna nebulosa"
"378","Epinephelus merra"
"379","Paracirrhites arcatus"
"380","Pseudocheilinus hexataenia"
"381","Stegastes nigricans"
"382","Acanthurus nigrofuscus"
"383","Acanthurus triostegus"
"384","Anampses twistii"
"385","Balistapus undulatus"
"386","Centropyge flavissima"
"387","Chaetodon citrinellus"
"388","Chaetodon lunula"
"389","Chaetodon lunulatus"
"390","Chaetodon pelewensis"
"391","Chaetodon reticulatus"
"392","Chaetodon unimaculatus"
"393","Cheilinus chlorourus"
"394","Chlorurus sordidus"
"395","Ctenochaetus striatus"
"396","Fistularia commersonii"
