"","sample_id","phylo_div","SR"
"160","AD1_2006__Marshall 1 H 9__2003-06-21",5,1
"161","AD1_2006__Marshall 1 J 10__2003-06-21",5,1
"162","AD1_2006__Marshall 1 J 31__2003-06-21",5,1
"163","AD1_2006__Marshall 1 K 11__2003-06-21",5,1
"164","AD1_2006__Marshall 1 K 32__2003-06-21",5,1
"165","AD1_2006__Marshall 1 L 28__2003-06-21",5,1
"166","AD1_2006__Marshall 1 L 7__2003-06-21",5,1
"167","AD1_2006__Marshall 1 M 12__2003-06-21",6,2
"168","AD1_2006__Marshall 1 M 33__2003-06-21",6,2
"169","AD1_2006__Marshall 1 N 15__2003-06-21",5,1
"170","AD1_2006__Marshall 1 N 36__2003-06-21",5,1
"171","AD1_2006__Marshall 1 P 16__2003-06-21",5,1
"172","AD1_2006__Marshall 1 P 37__2003-06-21",6,2
"173","AD1_2006__Marshall 1 Q 17__2003-06-21",5,1
"174","AD1_2006__Marshall 1 Q 38__2003-06-21",5,1
"175","AD1_2006__Marshall 1 R 13__2003-06-21",5,1
"176","AD1_2006__Marshall 1 R 34__2003-06-21",5,1
"177","AD1_2006__Marshall 1 S 18__2003-06-21",5,1
"178","AD1_2006__Marshall 1 S 39__2003-06-21",5,1
"179","AD1_2006__Marshall 1 T 19__2003-06-21",7,3
"180","AD1_2006__Marshall 1 T 40__2003-06-21",6,2
"181","AD1_2006__Marshall 1 U 14__2003-06-21",6,2
"182","AD1_2006__Marshall 1 U 35__2003-06-21",6,2
"183","AD1_2006__Marshall 1 V 20__2003-06-21",7,3
"184","AD1_2006__Marshall 1 V 41__2003-06-21",5,1
"185","AD1_2006__Marshall 1 W 21__2003-06-21",5,1
"186","AD1_2006__Marshall 2 B 2__2003-06-21",5,1
"187","AD1_2006__Marshall 2 C 24__2003-06-21",5,1
"188","AD1_2006__Marshall 2 E 26__2003-06-21",6,2
"189","AD1_2006__Marshall 2 R 34__2003-06-21",5,1
"190","AD1_2006__Marshall 2 S 18__2003-06-21",5,1
"191","AD1_2006__Marshall 2 U 35__2003-06-21",5,1
"192","AD1_2006__Marshall 2 W 21__2003-06-21",5,1
"193","AD1_2006__McFrederick 1  10__2003-05-31",5,1
"194","AD1_2006__McFrederick 1  11__2003-05-31",5,1
"195","AD1_2006__McFrederick 1  12__2003-05-31",5,1
"196","AD1_2006__McFrederick 1  13__2003-05-31",5,1
"197","AD1_2006__McFrederick 1  14__2003-05-31",5,1
"198","AD1_2006__McFrederick 1  15__2003-05-31",5,1
"199","AD1_2006__McFrederick 1  16__2003-05-31",5,1
"200","AD1_2006__McFrederick 1  17__2003-05-31",5,1
"201","AD1_2006__McFrederick 1  18__2003-05-31",5,1
"202","AD1_2006__McFrederick 1  19__2003-05-31",5,1
"203","AD1_2006__McFrederick 1  1__2003-05-31",5,1
"204","AD1_2006__McFrederick 1  20__2003-05-31",5,1
"205","AD1_2006__McFrederick 1  2__2003-05-31",5,1
"206","AD1_2006__McFrederick 1  3__2003-05-31",5,1
"207","AD1_2006__McFrederick 1  4__2003-05-31",5,1
"208","AD1_2006__McFrederick 1  5__2003-05-31",5,1
"209","AD1_2006__McFrederick 1  6__2003-05-31",5,1
"210","AD1_2006__McFrederick 1  7__2003-05-31",5,1
"211","AD1_2006__McFrederick 1  8__2003-05-31",5,1
"212","AD1_2006__McFrederick 1  9__2003-05-31",5,1
"213","AD1_2006__McFrederick 2  10__2004-05-01",5,1
"214","AD1_2006__McFrederick 2  11__2004-05-01",5,1
"215","AD1_2006__McFrederick 2  12__2004-05-01",5,1
"216","AD1_2006__McFrederick 2  13__2004-05-01",5,1
"217","AD1_2006__McFrederick 2  14__2004-05-01",5,1
"218","AD1_2006__McFrederick 2  15__2004-05-01",5,1
"219","AD1_2006__McFrederick 2  16__2004-05-01",5,1
"220","AD1_2006__McFrederick 2  17__2004-05-01",5,1
"221","AD1_2006__McFrederick 2  18__2004-05-01",5,1
"222","AD1_2006__McFrederick 2  19__2004-05-01",5,1
"223","AD1_2006__McFrederick 2  1__2004-05-01",5,1
"224","AD1_2006__McFrederick 2  20__2004-05-01",5,1
"225","AD1_2006__McFrederick 2  2__2004-05-01",5,1
"226","AD1_2006__McFrederick 2  3__2004-05-01",5,1
"227","AD1_2006__McFrederick 2  4__2004-05-01",5,1
"228","AD1_2006__McFrederick 2  5__2004-05-01",5,1
"229","AD1_2006__McFrederick 2  6__2004-05-01",5,1
"230","AD1_2006__McFrederick 2  7__2004-05-01",5,1
"231","AD1_2006__McFrederick 2  8__2004-05-01",5,1
"232","AD1_2006__McFrederick 2  9__2004-05-01",5,1
"233","AD1_2007__Hatfield 1 120 1__2002-07-13",5,1
"234","AD1_2007__Hatfield 1 120 2__2002-07-13",5,1
"235","AD1_2007__Hatfield 1 120 3__2002-07-13",5,1
"236","AD1_2007__Hatfield 1 120 61__2003-07-09",5,1
"237","AD1_2007__Hatfield 1 120 62__2003-07-09",5,1
"238","AD1_2007__Hatfield 1 120 63__2003-07-09",5,1
"239","AD1_2007__Hatfield 1 141 4__2002-07-13",5,1
"240","AD1_2007__Hatfield 1 141 5__2002-07-13",5,1
"241","AD1_2007__Hatfield 1 141 64__2003-07-09",5,1
"242","AD1_2007__Hatfield 1 141 65__2003-07-09",5,1
"243","AD1_2007__Hatfield 1 141 66__2003-07-09",5,1
"244","AD1_2007__Hatfield 1 141 6__2002-07-13",5,1
"245","AD1_2007__Hatfield 1 155 10__2002-07-13",5,1
"246","AD1_2007__Hatfield 1 155 68__2003-07-09",5,1
"247","AD1_2007__Hatfield 1 155 69__2003-07-09",5,1
"248","AD1_2007__Hatfield 1 155 70__2003-07-09",5,1
"249","AD1_2007__Hatfield 1 155 8__2002-07-13",5,1
"250","AD1_2007__Hatfield 1 155 9__2002-07-13",5,1
"251","AD1_2007__Hatfield 1 161 11__2002-07-13",5,1
"252","AD1_2007__Hatfield 1 161 12__2002-07-13",5,1
"253","AD1_2007__Hatfield 1 161 67__2003-07-09",5,1
"254","AD1_2007__Hatfield 1 161 71__2003-07-09",5,1
"255","AD1_2007__Hatfield 1 161 72__2003-07-09",5,1
"256","AD1_2007__Hatfield 1 207 13__2002-07-13",5,1
"257","AD1_2007__Hatfield 1 207 14__2002-07-13",5,1
"258","AD1_2007__Hatfield 1 207 15__2002-07-13",5,1
"259","AD1_2007__Hatfield 1 207 73__2003-07-09",5,1
"260","AD1_2007__Hatfield 1 207 74__2003-07-09",5,1
"261","AD1_2007__Hatfield 1 207 75__2003-07-09",5,1
"262","AD1_2007__Hatfield 1 228 16__2002-07-13",5,1
"263","AD1_2007__Hatfield 1 228 17__2002-07-13",5,1
"264","AD1_2007__Hatfield 1 228 18__2002-07-13",5,1
"265","AD1_2007__Hatfield 1 228 76__2003-07-09",5,1
"266","AD1_2007__Hatfield 1 228 77__2003-07-09",5,1
"267","AD1_2007__Hatfield 1 228 78__2003-07-09",5,1
"268","AD1_2007__Hatfield 1 242 112__2003-07-09",5,1
"269","AD1_2007__Hatfield 1 242 113__2003-07-09",5,1
"270","AD1_2007__Hatfield 1 242 114__2003-07-09",5,1
"271","AD1_2007__Hatfield 1 242 52__2002-07-13",5,1
"272","AD1_2007__Hatfield 1 242 53__2002-07-13",5,1
"273","AD1_2007__Hatfield 1 242 54__2002-07-13",5,1
"274","AD1_2007__Hatfield 1 251 19__2002-07-13",5,1
"275","AD1_2007__Hatfield 1 251 20__2002-07-13",5,1
"276","AD1_2007__Hatfield 1 251 21__2002-07-13",5,1
"277","AD1_2007__Hatfield 1 251 79__2003-07-09",5,1
"278","AD1_2007__Hatfield 1 251 80__2003-07-09",5,1
"279","AD1_2007__Hatfield 1 251 81__2003-07-09",5,1
"280","AD1_2007__Hatfield 1 255 22__2002-07-13",5,1
"281","AD1_2007__Hatfield 1 255 23__2002-07-13",5,1
"282","AD1_2007__Hatfield 1 255 24__2002-07-13",5,1
"283","AD1_2007__Hatfield 1 255 82__2003-07-09",5,1
"284","AD1_2007__Hatfield 1 255 83__2003-07-09",5,1
"285","AD1_2007__Hatfield 1 255 84__2003-07-09",5,1
"286","AD1_2007__Hatfield 1 282 25__2002-07-13",5,1
"287","AD1_2007__Hatfield 1 282 26__2002-07-13",5,1
"288","AD1_2007__Hatfield 1 282 27__2002-07-13",5,1
"289","AD1_2007__Hatfield 1 282 85__2003-07-09",5,1
"290","AD1_2007__Hatfield 1 282 86__2003-07-09",5,1
"291","AD1_2007__Hatfield 1 282 87__2003-07-09",5,1
"292","AD1_2007__Hatfield 1 292 28__2002-07-13",5,1
"293","AD1_2007__Hatfield 1 292 29__2002-07-13",5,1
"294","AD1_2007__Hatfield 1 292 30__2002-07-13",5,1
"295","AD1_2007__Hatfield 1 292 88__2003-07-09",5,1
"296","AD1_2007__Hatfield 1 292 89__2003-07-09",5,1
"297","AD1_2007__Hatfield 1 292 90__2003-07-09",5,1
"298","AD1_2007__Hatfield 1 303 31__2002-07-13",5,1
"299","AD1_2007__Hatfield 1 303 32__2002-07-13",5,1
"300","AD1_2007__Hatfield 1 303 33__2002-07-13",5,1
"301","AD1_2007__Hatfield 1 303 91__2003-07-09",5,1
"302","AD1_2007__Hatfield 1 303 92__2003-07-09",5,1
"303","AD1_2007__Hatfield 1 303 93__2003-07-09",5,1
"304","AD1_2007__Hatfield 1 329 34__2002-07-13",5,1
"305","AD1_2007__Hatfield 1 329 35__2002-07-13",5,1
"306","AD1_2007__Hatfield 1 329 36__2002-07-13",5,1
"307","AD1_2007__Hatfield 1 329 94__2003-07-09",5,1
"308","AD1_2007__Hatfield 1 329 95__2003-07-09",5,1
"309","AD1_2007__Hatfield 1 329 96__2003-07-09",5,1
"310","AD1_2007__Hatfield 1 366 37__2002-07-13",5,1
"311","AD1_2007__Hatfield 1 366 38__2002-07-13",5,1
"312","AD1_2007__Hatfield 1 366 39__2002-07-13",5,1
