sample_id,phylo_div,SR
AD1_2006__McFrederick 2  8__2004-05-01,5,1
AD1_2006__McFrederick 2  9__2004-05-01,5,1
AD1_2007__Hatfield 1 120 1__2002-07-13,5,1
AD1_2007__Hatfield 1 120 2__2002-07-13,5,1
AD1_2007__Hatfield 1 120 3__2002-07-13,5,1
AD1_2007__Hatfield 1 120 61__2003-07-09,5,1
AD1_2007__Hatfield 1 120 62__2003-07-09,5,1
AD1_2007__Hatfield 1 120 63__2003-07-09,5,1
AD1_2007__Hatfield 1 141 4__2002-07-13,5,1
AD1_2007__Hatfield 1 141 5__2002-07-13,5,1
AD1_2007__Hatfield 1 141 64__2003-07-09,5,1
AD1_2007__Hatfield 1 141 65__2003-07-09,5,1
AD1_2007__Hatfield 1 141 66__2003-07-09,5,1
AD1_2007__Hatfield 1 141 6__2002-07-13,5,1
AD1_2007__Hatfield 1 155 10__2002-07-13,5,1
AD1_2007__Hatfield 1 155 68__2003-07-09,5,1
AD1_2007__Hatfield 1 155 69__2003-07-09,5,1
AD1_2007__Hatfield 1 155 70__2003-07-09,5,1
AD1_2007__Hatfield 1 155 8__2002-07-13,5,1
AD1_2007__Hatfield 1 155 9__2002-07-13,5,1
AD1_2007__Hatfield 1 161 11__2002-07-13,5,1
AD1_2007__Hatfield 1 161 12__2002-07-13,5,1
AD1_2007__Hatfield 1 161 67__2003-07-09,5,1
AD1_2007__Hatfield 1 161 71__2003-07-09,5,1
AD1_2007__Hatfield 1 161 72__2003-07-09,5,1
AD1_2007__Hatfield 1 207 13__2002-07-13,5,1
AD1_2007__Hatfield 1 207 14__2002-07-13,5,1
AD1_2007__Hatfield 1 207 15__2002-07-13,5,1
AD1_2007__Hatfield 1 207 73__2003-07-09,5,1
AD1_2007__Hatfield 1 207 74__2003-07-09,5,1
AD1_2007__Hatfield 1 207 75__2003-07-09,5,1
AD1_2007__Hatfield 1 228 16__2002-07-13,5,1
AD1_2007__Hatfield 1 228 17__2002-07-13,5,1
AD1_2007__Hatfield 1 228 18__2002-07-13,5,1
AD1_2007__Hatfield 1 228 76__2003-07-09,5,1
