Unnamed: 0,GENUS_SPECIES,taxonomic_class
14322,Crossaster japonicus,Asteroidea
14323,Paralomis zelandica,Malacostraca
14324,Leptomithrax australis,Malacostraca
14325,Amblyraja georginian,Chondrichthyes
14326,Latris lineata,Actinopteri
14327,Rosenblattia robusta,Actinopteri
14328,Jasus edwardsii,Malacostraca
14329,Squilla armata,Malacostraca
14330,Azygopus pinnifasciatus,Actinopteri
14331,Pseudolabrus miles,Actinopteri
14332,Auchenoceros punctatus,Actinopteri
14333,Oncorhynchus tshawytscha,Actinopteri
14334,Ovalipes catharus,Malacostraca
14335,Contusus richei,Actinopteri
14336,Oplophorus novaezeelandiae,Malacostraca
14337,Parapercis gilliesi,Actinopteri
14338,Parapercis colias,Actinopteri
14339,Colistium nudipinnis,Actinopteri
14340,Allomycterus jaculiferus,Actinopteri
14341,Rhombosolea tapirina,Actinopteri
14342,Chlamys delicatula,Agaricomycetes
14343,Latridopsis ciliaris,Actinopteri
14344,Caelorinchus celaenostomus,Actinopteri
14345,Notolabrus cinctus,Actinopteri
14346,Solegnathus spinosissimus,Actinopteri
14347,Nemadactylus douglasi,Actinopteri
14348,Magnisudis prionosa,Actinopteri
14349,Caelorinchus maurofasciatus,Actinopteri
14350,Caelorinchus cookianus,Actinopteri
14351,Euclichthys polynemus,Actinopteri
14352,Chlamydoselachus anguineus,Chondrichthyes
14353,Arhynchobatis asperrimus,Chondrichthyes
14354,Notopandalus magnoculus,Malacostraca
14355,Etmopterus pusillus,Chondrichthyes
14356,Paranotothenia microlepidota,Actinopteri
14357,Caelorinchus mystax,Actinopteri
14358,Parmaturus macmillani,Chondrichthyes
14359,Schedophilus maculatus,Actinopteri
14360,Diretmoides parini,Actinopteri
14361,Caelorinchus kermadecus,Actinopteri
14362,Brotulotaenia crassa,Actinopteri
14363,Bathygadus cottoides,Actinopteri
14364,Zu elongatus,Actinopteri
14365,Peltorhamphus latus,Actinopteri
14366,Perna canaliculus,Bivalvia
14367,Tiostrea chilensis,Bivalvia
14368,Caelorinchus mycterismus,Actinopteri
14369,Lepidion inosimae,Actinopteri
14370,Vitjazmaia latidactyla,Malacostraca
14371,Cubiceps caeruleus,Actinopteri
14372,Caelorinchus trachycarus,Actinopteri
14373,Gadella norops,Lepidosauria
14374,Acanthephyra quadrispinosa,Malacostraca
14375,Allothunnus fallai,Actinopteri
14376,Pterycombus petersii,Actinopteri
14377,Coryphaenoides striaturus,Actinopteri
14378,Persparsia kopua,Actinopteri
14379,Evermanella indica,Thecostraca
14380,Prionace glauca,Chondrichthyes
14381,Taratichthys longipinnis,Actinopterygii
14382,Dipsachaster magnificus,Insecta
14383,Enteroctopus zealandicus,Cephalopoda
14384,Brama australis,Actinopteri
14385,Crapatalus novaezelandiae,Actinopteri
14386,Fellaster zelandiae,Echinoidea
14387,Mactra murchisoni,Bivalvia
14388,Scutus breviculus,Gastropoda
14389,Leptoscopus macropygus,Actinopterygii
14390,Provocator mirabilis,Gastropoda
14391,Odontomacrurus murrayi,Actinopteri
14392,Notocanthus chemnitzi,Teleostei
14393,Melanocetus johnsonii,Actinopteri
14394,Caelorinchus acanthiger,Actinopteri
14395,Notolabrus fucicola,Actinopteri
14396,Cepola aotea,Actinopteri
14397,Peltorhamphus tenuis,Actinopteri
14398,Maurolicus australis,Actinopteri
14399,Pseudopentaceros richardsoni,Actinopteri
14400,Paranotothenia angustata,Actinopteri
14401,Scorpis lineolatus,Actinopteri
14402,Latridopsis forsteri,Actinopteri
14403,Caprodon longimanus,Actinopteri
14404,Ceratoscopelus warmingi,Actinopteri
14405,Sergia potens,Magnoliopsida
14406,Thunnus maccoyii,Actinopteri
14407,Arctozenus rissoi,Actinopteri
14408,Macroparalepis macrugeneion,Actinopteri
14409,Sprattus antipodum,Actinopteri
14410,Spirula spirula,Cephalopoda
14411,Achiropsetta tricholepis,Actinopteri
14412,Haplomacrourus nudirostris,Teleostei
14413,Caelorinchus horribilis,Actinopteri
14414,Bathysauropsis gracilis,Actinopteri
14415,Rhombosolea retiaria,Actinopteri
14416,Trachipterus jacksonensis,Actinopteri
14417,Odax pullus,Actinopteri
14418,Aplodactylus arctidens,Actinopteri
14419,Cataetyx niki,Actinopteri
14420,Nemamyxine elongata,Bryopsida
14421,Scorpis violaceus,Actinopteri
14422,Opisthoproctus grimaldii,Actinopteri
14423,Jasus verreauxi,Malacostraca
14424,Pyramodon ventralis,Actinopteri
14425,Isistius brasiliensis,Chondrichthyes
14426,Pseudotriakis microdon,Chondrichthyes
14427,Rhadinesthes decimus,Actinopteri
14428,Muraenolepis marmoratus,Actinopteri
14429,Cancer novaezelandiae,Malacostraca
14430,Somniosus rostratus,Chondrichthyes
14431,Bathypectinura heros,Ophiuroidea
14432,Grahamichthys radiatus,Actinopteri
14433,Lepidoperca tasmanica,Actinopteri
14434,Mitsukurina owstoni,Chondrichthyes
14435,Pecten novaezelandiae,Bivalvia
14436,Somniosus pacificus,Chondrichthyes
14437,Nezumia sp19,Actinopteri
14438,Desmodema polystictum,Actinopteri
14439,Pseudechinus flemingi,Echinoidea
14440,Xenobrama microlepis,Actinopteri
14441,Paranotothenia magellanica,Actinopteri
14442,Cheilodactylus spectabilis,Actinopteri
14443,Antipodocottus megalops,Actinopteri
14444,Cyttopsis roseus,Actinopteri
14445,Neomyxine biniplicata,Myxini
14446,Macroparalepis danae,Actinopteri
14447,Desmophyllum dianthus,Anthozoa
14448,Decapterus koheru,Actinopteri
14449,Lampris guttatus,Actinopteri
14450,Somniosus microcephalus,Chondrichthyes
14451,Bathypterois longicauda,Actinopteri
14452,Bathypterois longifilis,Actinopteri
14453,Argyripnus iridescens,Actinopteri
14454,Polycheles suhmi,Malacostraca
14455,Alopias superciliosus,Chondrichthyes
14456,Atrina zelandica,Bivalvia
14457,Poecillastra laminaris,Demospongiae
14458,Haliphron atlanticus,Cephalopoda
14459,Mendosoma lineatum,Actinopteri
14460,Pterygotrigla pauli,Actinopteri
14461,Crapatalus angusticeps,Actinopteri
14462,Pteraclis velifera,Actinopteri
14463,Typhlonarke tarakea,Chondrichthyes
14464,Seriolella labyrinthica,Actinopteri
14465,Echinorhinus cookei,Chondrichthyes
14466,Physiculus luminosa,Actinopteri
14467,Ovalipes molleri,Malacostraca
14468,Modiolarca impacta,Bivalvia
14469,Synaphobranchus affinis,Actinopteri
14470,Odontaspis ferox,Chondrichthyes
14471,Plectranthias maculicauda,Actinopteri
14472,Nectocarcinus bennetti,Malacostraca
14473,Borostomias mononema,Actinopteri
14474,Notoclinus fenestratus,Actinopteri
14475,Campylaspis maculata,Malacostraca
14476,Cumella australis,Malacostraca
14477,Nymphon biarticulatum,Pycnogonida
14478,Nymphon eltaninae,Pycnogonida
14479,Pentanymphon antarcticum,Pycnogonida
14480,Peraeosoinosus pushkini,Malacostraca
14481,Tanaopsis gallardoi,Malacostraca
14482,Ammothea clausi,Pycnogonida
14483,Austrodecus glaciale,Pycnogonida
14484,Diastylis corniculata,Malacostraca
14485,Eudorella splendida,Malacostraca
14486,Leucon sagitta,Sagittoidea
14487,Mirandotanais vorax,Malacostraca
14488,Typhlotanais greenwichensis,Malacostraca
14489,Nymphon punctum,Gastropoda
14490,Cilunculus cactoides,Pycnogonida
14491,Heteronymphon exiguum,Pycnogonida
14492,Pallenopsis ,Pycnogonida
14493,Nototanais dimorphus,Malacostraca
14494,Diastylopsis goekei,Malacostraca
14495,Eudorella gracilior,Malacostraca
14496,Vaunthompsonia inermis,Malacostraca
14497,Nymphon gruzovi,Pycnogonida
14498,Cumella pectinifera,Malacostraca
14499,Protanaissus longidactylus,Malacostraca
14500,Nototanais antarcticus,Malacostraca
14501,Diastylis armata,Malacostraca
14502,Akanthophoreus australis,Malacostraca
14503,Araphura elongata,Malacostraca
14504,Achelia hoekii,Pycnogonida
14505,Rhynchothorax australis,Pycnogonida
14506,Typhlotanais adipatus,Malacostraca
14507,Holostylis helleri,Magnoliopsida
14508,Typhlotanais grahami,Malacostraca
14509,Vaunthompsonia meridionalis,Malacostraca
14510,Austropallene gracilipes,Pycnogonida
14511,Austropallene tibicina,Insecta
14512,Nymphon pagophilum,Pycnogonida
14513,Ekleptostylis debroyeri,Malacostraca
14514,Austropallene cornigera,Pycnogonida
14515,Nymphon subtile,Pycnogonida
14516,Biota ,Pinopsida
14517,Appendicularia sicula,Appendicularia
14518,Fritillaria typica,Appendicularia
14519,Oikopuleura dioica,Magnoliopsida
14520,Oikopuleura labradoriensis,
14521,Conaea rapax,Hexanauplia
14522,Oncaea brodskii,Hexanauplia
14523,Oncaea convexa,Hexanauplia
14524,Oncaea damkaeri,Hexanauplia
14525,Oncaea englishi,Hexanauplia
14526,Oncaea grossa,Hexanauplia
14527,Oncaea insolita,Hexanauplia
14528,Oncaea lacinia,Hexanauplia
14529,Oncaea longipes,Hexanauplia
14530,Oncaea macilenta,Hexanauplia
14531,Oncaea parila,Hexanauplia
14532,Oncaea rimula,Gastropoda
14533,Oncaea sp1,Hexanauplia
14534,Triconia canadensis,Hexanauplia
14535,Triconia similis,Hexanauplia
14536,Triconia thoresoni,Hexanauplia
14537,Oncaea zernovi,Hexanauplia
14538,Oncaea glabra,Hexanauplia
14539,Oncaea ovalis,Hexanauplia
14540,Oikopleura albicans,Appendicularia
14541,Oikopleura fusiforimis,Appendicularia
14542,Oikopleura longicauda,Appendicularia
14543,Fritillaria pellucida,Appendicularia
14544,Pelagopleura verticalis,Appendicularia
14545,Fritillaria formica,Appendicularia
14546,Oikopleura graciloides,Appendicularia
14547,Oikopleura parva,Appendicularia
14548,Oikopleura rufescens,Appendicularia
14549,Oikopleura sp1,Appendicularia
14550,Oikopleura fusiformis,Appendicularia
14551,Oikopleura spb,Appendicularia
14552,Oikopleura cophocerca,Appendicularia
14553,Fritillaria sargassi,Appendicularia
14554,Amallothrix inornata,Hexanauplia
14555,Augaptilus cornutus,Hexanauplia
14556,Calanus pacificus,Hexanauplia
14557,Gaidius variabilis,Hexanauplia
14558,Heterorhabdus robustoides,Hexanauplia
14559,Heterorhabdus tanneri,Hexanauplia
14560,Lucicutia ellipsoidalis,Hexanauplia
14561,Lucicutia ovaliformis,Hexanauplia
14562,Metridia asymmetrica,Hexanauplia
14563,Metridia epstein,Hexanauplia
14564,Metridia okhotensis,Hexanauplia
14565,Neocalanus flemingeri,Hexanauplia
14566,Neocalanus plumchrus,Hexanauplia
14567,Paraeuchaeta birostrata,Hexanauplia
14568,Paraeuchaeta rubra,Hexanauplia
14569,Pseudochirella polyspina,Actinopteri
14570,Scolecithricella globulosa,Hexanauplia
14571,Spinocalanus spinipes,Hexanauplia
14572,Candacia columbiae,Hexanauplia
14573,Gaetanus simplex,Hexanauplia
14574,Paraeuchaeta elongata,Hexanauplia
14575,Racovitzanus antarcticus,Hexanauplia
14576,Amallothrix valida,Hexanauplia
14577,Metridia ornata,Hexanauplia
14578,Euaugaptilus parabullifer,Hexanauplia
14579,Euaugaptilus similis,Hexanauplia
14580,Heterorhabdus pacificus,Hexanauplia
14581,Paraeuchaeta pseudotumidula,Hexanauplia
14582,Lucicutia gracilis,Hexanauplia
14583,Pleuromamma scutullata,Hexanauplia
14584,Spinocalanus similis,Hexanauplia
14585,Pseudocalanus newmani,Hexanauplia
14586,Lucicutia frigida,Hexanauplia
14587,Pseudochirella pacifica,Hexanauplia
14588,Amallothrix paravalida,Hexanauplia
14589,Gaidius brevirostris,Hexanauplia
14590,Onchocalanus magnus,Hexanauplia
14591,Paraeuchaeta brevirostris,Hexanauplia
14592,Pseudochirella spinifera,Hexanauplia
14593,Xanthocalanus kurilensis,Hexanauplia
14594,Euaugaptilus pseudaffinis,Hexanauplia
14595,Lucicutia longifurca,Hexanauplia
14596,Paraeuchaeta abyssalis,Hexanauplia
14597,Scaphocalanus insignis,Hexanauplia
14598,Euaugaptilus graciloides,Hexanauplia
14599,Gaetanus esterly,Hexanauplia
14600,Lucicutia orientalis,Hexanauplia
14601,Metridia similis,Hexanauplia
14602,Neoaugaptilus distinctus,Copepoda
14603,Lucicutia oblonga,Hexanauplia
14604,Lucicutia profunda,Hexanauplia
14605,Paraeuchaeta orientalis,Hexanauplia
14606,Undinopsis pacificus,Echinoidea
14607,Fritillaria haplostoma,Appendicularia
14608,Pachyptilus pacificus,Hexanauplia
14609,Oncaea scottodicarloi,Hexanauplia
14610,Oncaea compacta,Insecta
14611,Triconia giesbrechti,Hexanauplia
14612,Triconia redacta,Hexanauplia
14613,Conaea succurva,Copepoda
14614,Oncaea walleni,Hexanauplia
14615,Oncaea rotata,Hexanauplia
14616,Oncaea clevei,Hexanauplia
14617,Triconia dentipes,Hexanauplia
14618,Triconia minuta,Hexanauplia
14619,Triconia parasimilis,Hexanauplia
14620,Triconia umerus,Hexanauplia
14621,No present,
14622,Cyathura polita,Malacostraca
14623,Dulichiella appendiculata,Malacostraca
14624,Elasmopus levis,Malacostraca
14625,Nereis succinea,Polychaeta
14626,Ceratopogonidae ,Insecta
14627,Gammarus palustris,Malacostraca
14628,Melita nitida,Malacostraca
14629,Polypedilum simulans,Insecta
14630,Americorophium salmonis,Malacostraca
14631,Coelotanypus ,Insecta
14632,Rhithropanopeus harrisii,Malacostraca
14633,Tanypus clavatus,Insecta
14634,Unid tubificidae,Clitellata
14635,Erichthonius ,Malacostraca
14636,Eusarsiella ozotothrix,Ostracoda
14637,Exogone rolani,Polychaeta
14638,Leitoscoloplos robustus,Polychaeta
14639,Leptocheirus plumulosus,Malacostraca
14640,Parasterope pollex,Ostracoda
14641,Polycirrus sp7,Polychaeta
14642,Rhynchocoela ,
14643,Scoletoma tenuis,Polychaeta
14644,Apocorophium simile,Malacostraca
14645,Joeropsis hawaiiensis,Malacostraca
14646,Metacirolana sp1,Malacostraca
14647,Cossura coasta,Polychaeta
14648,Apseudes tropicalis,Malacostraca
14649,Armandia intermedia,Polychaeta
14650,Caridean larva,Insecta
14651,Grandidierella makena,Malacostraca
14652,Myodocope sp1,
14653,Myodocope sp2,
14654,Penilia sp1,Branchiopoda
14655,Zoea larva,Insecta
14656,Hyperiidea ,Malacostraca
14657,Lucifer chacei,Malacostraca
14658,Monticellina dorsobranchialis,Polychaeta
14659,Megalops larva,Actinopteri
14660,Ophiodromus angustifrons,Polychaeta
14661,Pseudopolydora corallicola,Conoidasida
14662,Cerithidea californica,Gastropoda
14663,Dolichopodidae ,Insecta
14664,Ephydridae ,Insecta
14665,Exosphaeroma inornata,Malacostraca
14666,Monocorophium insidiosum,Malacostraca
14667,Manayunkia speciosa,Polychaeta
14668,Rhaphium ,Insecta
14669,Sesarma reticulatum,Malacostraca
14670,Tabanus ,Insecta
14671,Uca minax,Malacostraca
14672,Asabellides oculata,Polychaeta
14673,Cerapus tubularis,Malacostraca
14674,Corophium tuberculatum,Malacostraca
14675,Leitoscoloplos fragilis,Polychaeta
14676,Podarkeopsis levifuscina,Polychaeta
14677,Tellina agilis,Bivalvia
14678,Unciola dissimilis,Malacostraca
14679,Leitoscoloplos ,Polychaeta
14680,Amphicteis floridus,Polychaeta
14681,Lineidae ,Pilidiophora
14682,Tubificoides heterochaetus,Clitellata
14683,Magelona capensis,Polychaeta
14684,Melita pahuwai,Malacostraca
14685,Pygospio muscularis,Polychaeta
14686,Brania rhopalophora,Insecta
14687,Eriopisella sechellensis,Malacostraca
14688,Linopherus microcephala,Magnoliopsida
14689,Munna acarina,Arachnida
14690,Nikoides steinii,Malacostraca
14691,Phyllochaetopterus verrilli,Polychaeta
14692,Questa caudicirra,Polychaeta
14693,Spio blakei,Polychaeta
14694,Typosyllis cornuta,Polychaeta
14695,Dulzura laakona,Malacostraca
14696,Pionosyllis heterocirrata,Polychaeta
14697,Protodorvillea biarticulata,Polychaeta
14698,Amakusanthura inornata,Malacostraca
14699,Bemlos macromanus,Malacostraca
14700,Elpeddo sp1,Malacostraca
14701,Konatopus paao,Malacostraca
14702,Macrothalamus sp1,
14703,Nebalia sp1,Malacostraca
14704,Paraphoxus sp2,Malacostraca
14705,Tethygeneia pacifica,Gastropoda
14706,Astyris gausapata,Gastropoda
14707,Axinopsida serricata,Bivalvia
14708,Boccardia pugettensis,Polychaeta
14709,Carinoma mutabilis,Palaeonemertea
14710,Chaetozone sp72,Polychaeta
14711,Cylichna attonsa,Gastropoda
14712,Epitonium sawinae,Gastropoda
14713,Euchone sp1,Polychaeta
14714,Nephtys simoni,Polychaeta
14715,Parandalia ocularis,Polychaeta
14716,Pista estevanica,Polychaeta
14717,Podarkeopsis glabrus,Polychaeta
14718,Rhepoxynius stenodes,Malacostraca
14719,Spiochaetopterus pottsi,Polychaeta
14720,Tellina carpenteri,Bivalvia
14721,Tubulanidae sp1,Palaeonemertea
14722,Acila castrensis,Bivalvia
14723,Acteocina eximia,Gastropoda
14724,Ampelisca careyi,Malacostraca
14725,Aricidea acmira,Polychaeta
14726,Brisaster latifrons,Echinoidea
14727,Chaetozone spinosa,Polychaeta
14728,Chone gracilis,Polychaeta
14729,Clymenura gracilis,Polychaeta
14730,Cylindroleberididae ,Ostracoda
14731,Dipolydora cardalia,Polychaeta
14732,Euclymeninae sp1,Polychaeta
14733,Eudorella pacifica,Gastropoda
14734,Foxiphalus similis,Malacostraca
14735,Glycera nana,Polychaeta
14736,Glycinde armigera,Polychaeta
14737,Huxleyia munita,Bivalvia
14738,Jasmineira pacifica,Gastropoda
14739,Lepidasthenia berkeleyae,Polychaeta
14740,Lepidepecreum garthi,Malacostraca
14741,Lyonsia californica,Bivalvia
14742,Macoma carlottensis,Bivalvia
14743,Magelona berkeleyi,Polychaeta
14744,Monticellina tesselata,Polychaeta
14745,Myriochele gracilis,Polychaeta
14746,Myriochele olgae,Polychaeta
14747,Nephasoma diaphanes,Sipuncula
14748,Nicippe tumida,Malacostraca
14749,Nothria occidentalis,Polychaeta
14750,Onuphis iridescens,Polychaeta
14751,Ophiura luetkenii,Ophiuroidea
14752,Ophiurida ,Ophiuroidea
14753,Paradiopatra parva,Polychaeta
14754,Pholoe sp71,Polychaeta
14755,Pilargis maculata,Polychaeta
14756,Pista percyi,Polychaeta
14757,Prionospio lighti,Polychaeta
14758,Pulsellum salishorum,Scaphopoda
14759,Scalibregma californicum,Polychaeta
14760,Scleroconcha trituberculata,Ostracoda
14761,Scoletoma luti,Polychaeta
14762,Scoloura phillipsi,Malacostraca
14763,Adontorhina cyclia,Bivalvia
14764,Amage anops,Polychaeta
14765,Asabellides sibirica,Polychaeta
14766,Byblis millsi,Malacostraca
14767,Chaetozone bansei,Polychaeta
14768,Diastylis santamariensis,Malacostraca
14769,Hemilamprops californicus,Malacostraca
14770,Kurtziella plumbea,Gastropoda
14771,Olivella baetica,Gastropoda
14772,Orchomene pacificus,Malacostraca
14773,Paradoneis branchiatus,Polychaeta
14774,Phyllodoce longipes,Polychaeta
14775,Rhachotropis conlanae,Malacostraca
14776,Spio cirrifera,Rhabditophora
14777,Americhelidium rectipalmum,Malacostraca
14778,Archaeomysis grebnitzkii,Malacostraca
14779,Bathycopea daltonae,Malacostraca
14780,Dendraster excentricus,Echinoidea
14781,Euphilomedes carcharodonta,Ostracoda
14782,Leitoscoloplos pugettensis,Polychaeta
14783,Magelona sacculata,Polychaeta
14784,Nephtys caecoides,Polychaeta
14785,Nutricola lordi,Bivalvia
14786,Oenopota fidicula,Gastropoda
14787,Olivella pycna,Insecta
14788,Peachia quinquecapitata,Anthozoa
14789,Rhepoxynius boreovariatus,Malacostraca
14790,Sigalion spinosus,Polychaeta
14791,Sthenelais verruculosa,Polychaeta
14792,Ampharete crassiseta,Polychaeta
14793,Diastylopsis dawsoni,Malacostraca
14794,Dipolydora socialis,Polychaeta
14795,Paraonella platybranchia,Polychaeta
14796,Tenonia priops,Polychaeta
14797,Aphelochaeta glandaria,Polychaeta
14798,Aphelochaeta monilaris,Polychaeta
14799,Aricidea lopezi,Polychaeta
14800,Aricidea antennata,Polychaeta
14801,Aricidea allia,Polychaeta
14802,Asabellides lineata,Polychaeta
14803,Asclerocheilus beringianus,Polychaeta
14804,Chone minuta,Polychaeta
14805,Cossura bansei,Polychaeta
14806,Cossura pygodactylata,Polychaeta
14807,Cyclocardia ventricosa,Bivalvia
14808,Dorvillea annulata,Polychaeta
14809,Eranno bicirrata,Polychaeta
14810,Heterophoxus conlanae,Malacostraca
14811,Heterophoxus ellisi,Malacostraca
14812,Lepidepecreum gurjanovae,Malacostraca
14813,Malmgreniella bansei,Polychaeta
14814,Malmgreniella scriptoria,Polychaeta
14815,Monticellina serratiseta,Polychaeta
14816,Monticellina sp71,Polychaeta
14817,Nemocardium centifilosum,Bivalvia
14818,Ninoe gemmea,Polychaeta
14819,Nuculana cellulita,Bivalvia
14820,Nuculana hamata,Bivalvia
14821,Ophiuridae ,Ophiuroidea
14822,Paraphoxus communis,Pinopsida
14823,Pectinaria californiensis,Polychaeta
14824,Phascolosoma agassizii,Sipuncula
14825,Pholoides asperus,Polychaeta
14826,Phyllodoce hartmanae,Polychaeta
14827,Pionosyllis magnifica,Polychaeta
14828,Praxillella pacifica,Polychaeta
14829,Prionospio multibranchiata,Polychaeta
14830,Rhodine bitorquata,Polychaeta
14831,Sthenelais tertiaglabra,Polychaeta
14832,Terebellides horikoshii,Polychaeta
14833,Typosyllis heterochaeta,Clitellata
14834,Vitreolina montereyensis,Gastropoda
14835,Axiothella rubrocincta,Polychaeta
14836,Rochefortia tumida,Bivalvia
14837,Siliqua patula,Bivalvia
14838,Bhawania heteroseta,Polychaeta
14839,Cyathura burbancki,Malacostraca
14840,Edotea triloba,Dicotyledonae
14841,Leptosynapta tenuis,Holothuroidea
14842,Monoculodes sp1,Malacostraca
14843,Odostomia engonia,Gastropoda
14844,Podarkeopsis ,Polychaeta
14845,Ptilanthura tenuis,Copepoda
14846,Saccoglossus kowalevskii,Enteropneusta
14847,Tharyx spa,Polychaeta
14848,Turbonilla spb,Gastropoda
14849,Microprotopus raneyi,Malacostraca
14850,Nucula annulata,Bivalvia
14851,Aulodrilus pigueti,Clitellata
14852,Limnodrilus cervix,Clitellata
14853,Corbicula fluminea,Bivalvia
14854,Haber speciosus,Clitellata
14855,Emerita benedicti,Malacostraca
14856,Parahaustorius longimerus,Malacostraca
14857,Semele nuculoides,Bivalvia
14858,Sphaerosyllis aciculata,Polychaeta
14859,Spiophanes missionensis,Polychaeta
14860,Leucon americanus,Malacostraca
14861,Lucinidae spa,Bivalvia
14862,Lumbrineris spa,Polychaeta
14863,Magelona sph,Polychaeta
14864,Malmgreniella spb,Polychaeta
14865,Nemertea spa,Alphaproteobacteria
14866,Nemertea spc,Alphaproteobacteria
14867,Notomastus lineatus,Polychaeta
14868,Pseudeurythoe paucibranchiata,Polychaeta
14869,Parandalia spa,Polychaeta
14870,Cyclaspis spc,Malacostraca
14871,Oxyurostylis spb,Malacostraca
14872,Pagurus gymnodactylus,Lepidosauria
14873,Scoletoma impatiens,Magnoliopsida
14874,Amphictene spa,Polychaeta
14875,Callianassidae ,Malacostraca
14876,Mulinia pontchartrainensis,Bivalvia
14877,Mysidopsis almyra,Malacostraca
14878,Nemertea spb,
14879,Nemertea spd,Arachnida
14880,Paramphinome spa,Polychaeta
14881,Pettiboneia spa,Polychaeta
14882,Texadina barretti,Gastropoda
14883,Hobsonia florida,Polychaeta
14884,Macoma mitchelli,Bivalvia
14885,Monoculodes spa,Malacostraca
14886,Tubificoides apectinatus,Clitellata
14887,Americamysis bahia,Malacostraca
14888,Cerapus benthophilus,Actinopteri
14889,Fabriciola trilobata,Polychaeta
14890,Gyptis brevipalpa,Magnoliopsida
14891,Hargeria rapax,Malacostraca
14892,Kinbergonuphis spa,Polychaeta
14893,Mysella planulata,Bivalvia
14894,Oxyurostylis spa,Malacostraca
14895,Pinnixa spa,Malacostraca
14896,Ampelisca holmesi,Malacostraca
14897,Apseudes spa,Malacostraca
14898,Asthenothaerus hemphilli,Bivalvia
14899,Calozodion spa,Malacostraca
14900,Chone spa,Polychaeta
14901,Codakia orbiculata,Bivalvia
14902,Diastoma varium,Gastropoda
14903,Eudendriidae ,Hydrozoa
14904,Halecium bermudense,Hydrozoa
14905,Lovenella gracilis,Hydrozoa
14906,Malmgreniella spa,Polychaeta
14907,Microphiopholis gracillima,Ophiuroidea
14908,Mysella spa,Bivalvia
14909,Notomastus daueri,Polychaeta
14910,Obelia bicuspidata,Hydrozoa
14911,Odontosyllis enopla,Polychaeta
14912,Owenia spa,Magnoliopsida
14913,Paracaprella pusilla,Malacostraca
14914,Paracaprella tenuis,Malacostraca
14915,Pinnixa pearsei,Malacostraca
14916,Piromis roberti,Polychaeta
14917,Raeta plicatella,Bivalvia
14918,Sthenelais spa,Polychaeta
14919,Zanclea costata,Hydrozoa
14920,Agriopoma texasiana,Bivalvia
14921,Ampelisca spc,Malacostraca
14922,Amphilochus spa,Malacostraca
14923,Biffarius biformis,Malacostraca
14924,Cirriformia spb,Polychaeta
14925,Hemipholis elongata,Ophiuroidea
14926,Hydroida ,Hydrozoa
14927,Limnodriloides baculatus,Clitellata
14928,Lumbrineris ernesti,Polychaeta
14929,Magelona spi,Polychaeta
14930,Mellita quinquiesperforata,Echinoidea
14931,Microphiopholis atra,Ophiuroidea
14932,Pectinaria gouldii,Polychaeta
14933,Prionospio cirrobranchiata,Polychaeta
14934,Carazziella hobsonae,Polychaeta
14935,Lepidasthenius spa,Alphaproteobacteria
14936,Neanthes micromma,Polychaeta
14937,Ogyrides alphaerostris,Malacostraca
14938,Acteon punctostriatus,Gastropoda
14939,Anthozoa sp1,Anthozoa
14940,Asychis elongatus,Polychaeta
14941,Cossura soyeri,Polychaeta
14942,Paraninoe brevipes,Polychaeta
14943,Phascolion spb,Sipuncula
14944,Euclymene spa,Polychaeta
14945,Odostomia spd,Gastropoda
14946,Corophium simile,Malacostraca
14947,Grandidierella bonnieroides,Malacostraca
14948,Prionospio perkinsi,Polychaeta
14949,Tubificoides spa,Clitellata
14950,Astyris lunata,Gastropoda
14951,Macoma baltica,Bivalvia
14952,Tellina ,Bivalvia
14953,Magelona sp7,Polychaeta
14954,Eurythoe ,Polychaeta
14955,Acetes carolinae,Malacostraca
14956,Cylichnella oryza,Magnoliopsida
14957,Ilyanassa trivittata,Gastropoda
14958,Sabaco americanus,Polychaeta
14959,Hypereteone heteropoda,Polychaeta
14960,Podocopida ,Ostracoda
14961,Leptochelia savignyi,Malacostraca
14962,Hydrozetes ,Arachnida
14963,Hypaniola ,Polychaeta
14964,Edotia triloba,Malacostraca
14965,Nereis sp6,Polychaeta
14966,Diplodonta semiaspera,Bivalvia
14967,Lineidae sp6,Pilidiophora
14968,Lumbrineris verrilli,Polychaeta
14969,Magelona sp8,Polychaeta
14970,Malmgreniella sp1,Polychaeta
14971,Nemertea sp2,
14972,Podarkeopsis sp1,Polychaeta
14973,Turridae spa,Gastropoda
14974,Unid maldanidae,Polychaeta
14975,Unid bivalvia,Alphaproteobacteria
14976,Unid onuphidae,Polychaeta
14977,Carinomella lactea,Palaeonemertea
14978,Tharyx sp71,Polychaeta
14979,Tubificoides brownae,Clitellata
14980,Unid holothuroidea,Alphaproteobacteria
14981,Mysidopsis spa,Malacostraca
14982,Tubificoides wasselli,Clitellata
14983,Veneroida ,Bivalvia
14984,Haplocytheridea sp2,Ostracoda
14985,Marenzellaria jonesi,Insecta
14986,Cryptochironomus ,Insecta
14987,Polypedilum ,Insecta
14988,Campylaspis affinis,Malacostraca
14989,Eudorella pusilla,Malacostraca
14990,Harpinia propinqua,Malacostraca
14991,Pterygocythereis sp1,Ostracoda
14992,Scoletoma verrilli,Polychaeta
14993,Spio limicola,Coriobacteriia
14994,Mediomastus ,Polychaeta
14995,Phyllodoce animal,Polychaeta
14996,Capitella jonesi,Polychaeta
14997,Protohaustorius wigleyi,Malacostraca
14998,Pseudunciola obliquua,Malacostraca
