GENUS_SPECIES,Reason
RITD ,Not found in any DB
SAPH ,Not found in any DB
CBTH ,Not found in any DB
DCCO ,Not found in any DB
ECDO ,Not found in any DB
WEME ,Not found in any DB
UNSP ,Not found in any DB
UNSW ,Not found in any DB
HRSH ,Not found in any DB
PHAI ,Not found in any DB
BRSP ,Not found in any DB
BTGN ,Not found in any DB
LOSH ,Not found in any DB
ROWR ,Not found in any DB
AUWA ,Not found in any DB
COFL ,Not found in any DB
RLHA ,Not found in any DB
RNSA ,Not found in any DB
UDEJ ,Not found in any DB
VGSW ,Not found in any DB
WEBL ,Not found in any DB
GHJU ,Not found in any DB
ORJU ,Not found in any DB
UNHA ,Not found in any DB
BLPH ,Not found in any DB
GBHE ,Not found in any DB
GRYE ,Not found in any DB
AMPI ,Not found in any DB
SAVS ,Not found in any DB
UNBL ,Not found in any DB
SAGS ,Not found in any DB
AMKE ,Not found in any DB
AMCO ,Not found in any DB
BCNH ,Not found in any DB
BEKI ,Not found in any DB
LISP ,Not found in any DB
AMWI ,Not found in any DB
UFLI ,Not found in any DB
UNHU ,Not found in any DB
CANW ,Not found in any DB
MAWR ,Not found in any DB
PFLB ,Not found in any DB
GRRO ,Not found in any DB
GTTO ,Not found in any DB
AMGO ,Not found in any DB
BTYW ,Not found in any DB
OCWA ,Not found in any DB
RCKI ,Not found in any DB
SWSP ,Not found in any DB
UNWA ,Not found in any DB
UYRW ,Not found in any DB
NRWS ,Not found in any DB
WEKI ,Not found in any DB
BCHU ,Not found in any DB
BEVI ,Not found in any DB
BEWR ,Not found in any DB
LUWA ,Not found in any DB
TUVU ,Not found in any DB
YWAR ,Not found in any DB
ZTHA ,Not found in any DB
RSFL ,Not found in any DB
LBDO ,Not found in any DB
NSHO ,Not found in any DB
CAEG ,Not found in any DB
PBGR ,Not found in any DB
REDH ,Not found in any DB
SNEG ,Not found in any DB
UNWO ,Not found in any DB
GRHE ,Not found in any DB
RNDU ,Not found in any DB
BGGN ,Not found in any DB
CANT ,Not found in any DB
CITE ,Not found in any DB
UDCO ,Not found in any DB
LENI ,Not found in any DB
BCFL ,Not found in any DB
BBWD ,Not found in any DB
BUOW ,Not found in any DB
YHBL ,Not found in any DB
OSPR ,Not found in any DB
UNFL ,Not found in any DB
WEWP ,Not found in any DB
COHA ,Not found in any DB
WESJ ,Not found in any DB
WTSW ,Not found in any DB
UNGO ,Not found in any DB
BCSP ,Not found in any DB
PRFA ,Not found in any DB
LASP ,Not found in any DB
AGWT ,Not found in any DB
EAGR ,Not found in any DB
VEFL ,Not found in any DB
GWTL ,Not found in any DB
NOPI ,Not found in any DB
RUDU ,Not found in any DB
HOME ,Not found in any DB
FEHA ,Not found in any DB
UNPA ,Not found in any DB
UNWR ,Not found in any DB
GLIB ,Not found in any DB
AMRO ,Not found in any DB
MGWA ,Not found in any DB
BLVU ,Not found in any DB
UNME ,Not found in any DB
COCK ,Not found in any DB
PEFA ,Not found in any DB
CEDW ,Not found in any DB
SSHA ,Not found in any DB
WBNU ,Not found in any DB
EMPI ,Not found in any DB
BUOR ,Not found in any DB
UNDO ,Not found in any DB
BHGR ,Not found in any DB
WFIB ,Not found in any DB
SCJU ,Not found in any DB
CBHA ,Not found in any DB
CRTH ,Not found in any DB
CHSP ,Not found in any DB
WAVI ,Not found in any DB
SATH ,Not found in any DB
LABU ,Not found in any DB
VIWA ,Not found in any DB
WESA ,Not found in any DB
UNOR ,Not found in any DB
SOVI ,Not found in any DB
COSN ,Not found in any DB
GADW ,Not found in any DB
VIRA ,Not found in any DB
UNAC ,Not found in any DB
UNFI ,Not found in any DB
DODU ,Not found in any DB
UNTA ,Not found in any DB
GRFL ,Not found in any DB
DEJU ,Not found in any DB
UNEG ,Not found in any DB
ACWO ,Not found in any DB
RBGU ,Not found in any DB
BLJA ,Not found in any DB
COGO ,Not found in any DB
HEWA ,Not found in any DB
BWTE ,Not found in any DB
GHOW ,Not found in any DB
SCOR ,Not found in any DB
PLVI ,Not found in any DB
CHGO ,Not found in any DB
HAFL ,Not found in any DB
UNVI ,Not found in any DB
BRTH ,Not found in any DB
WOST ,Not found in any DB
UNYE ,Not found in any DB
DOGO ,Not found in any DB
LBHE ,Not found in any DB
AWPE ,Not found in any DB
LESC ,Not found in any DB
WEFL ,Not found in any DB
UNTO ,Not found in any DB
YBCH ,Not found in any DB
UNTH ,Not found in any DB
UNFA ,Not found in any DB
HOWR ,Not found in any DB
URST ,Not found in any DB
HAWO ,Not found in any DB
UNDW ,Not found in any DB
COGD ,Not found in any DB
UNRA ,Not found in any DB
LBCU ,Not found in any DB
UNPK ,Not found in any DB
PYRR ,Not found in any DB
RCSP ,Not found in any DB
SWHA ,Not found in any DB
UNKI ,Not found in any DB
STJA ,Not found in any DB
LAGO ,Not found in any DB
UNGN ,Not found in any DB
CAKI ,Not found in any DB
UNBU ,Not found in any DB
LEWO ,Not found in any DB
LEYE ,Not found in any DB
PSJU ,Not found in any DB
YTWA ,Not found in any DB
VASW ,Not found in any DB
UNSF ,Not found in any DB
UNOW ,Not found in any DB
WEGR ,Not found in any DB
OVEN ,Not found in any DB
UNGU ,Not found in any DB
RUHU ,Not found in any DB
BRPE ,Not found in any DB
WIPH ,Not found in any DB
CANV ,Not found in any DB
UNJA ,Not found in any DB
UNST ,Not found in any DB
TOSO ,Not found in any DB
BRTI ,Not found in any DB
UNCO ,Not found in any DB
CCLO ,Not found in any DB
BWWA ,Not found in any DB
UNHE ,Not found in any DB
Bendires Thrasher,Not found in any DB
Aberts Towhee,Not found in any DB
Curve-billed Thrasher,Not found in any DB
Western Kingbird,Not found in any DB
Ruby-crowned Kinglet,Not found in any DB
Wilsons Warbler,Not found in any DB
Blue-gray Gnatcatcher,Not found in any DB
Brown-headed Cowbird,Not found in any DB
Audubons Warbler,Not found in any DB
Western Flycatcher,Not found in any DB
Lucys Warbler,Not found in any DB
Bullocks Oriole,Not found in any DB
Pied-billed Grebe,Not found in any DB
Townsends Solitaire,Not found in any DB
Townsends Warbler,Not found in any DB
Cordilleran Flycatcher,Not found in any DB
Eared Grebe,Not found in any DB
Cassins Kingbird,Not found in any DB
MacGillivrays Warbler,Not found in any DB
Virginias Warbler,Not found in any DB
Hammonds Flycatcher,Not found in any DB
Gray Flycatcher,Not found in any DB
Violet-green Swallow,Not found in any DB
Olive-sided Flycatcher,Not found in any DB
Lark Bunting,Not found in any DB
Autolyninae ,Not found in any DB
unspecifiable ,Not found in any DB
Belenesox belizanus,Not found in any DB
Stratomyidae ,Not found in any DB
Ahredoderus sayanus,Not found in any DB
Green_filamentous_algae ,Not found in any DB
Idataphe cubensis,Not found in any DB
Midoc2 spb,Not found in any DB
Midoc1 spj,Not found in any DB
Midoc1 spm,Not found in any DB
Midoc1 spf,Not found in any DB
Midoc1 spb,Not found in any DB
AMELARB ,Not found in any DB
SALIBEB ,Not found in any DB
ULMU ,Not found in any DB
AMELCAN ,Not found in any DB
QUERxFER ,Not found in any DB
CLETACU ,Not found in any DB
LIRITUL ,Not found in any DB
ACERALB ,Not found in any DB
QUERMON ,Not found in any DB
QUERCxBEN ,Not found in any DB
Semotilis atromaculatus,Not found in any DB
Pomphylox sulcata,Not found in any DB
Harpacticoid ,Not found in any DB
Pomphylox ,Not found in any DB
Diaptomid ,Not found in any DB
Copepodites ,Not found in any DB
Calanoid ,Not found in any DB
UKFO13 ,Not found in any DB
QUGR3B ,Not found in any DB
UKFO17 ,Not found in any DB
YUBAC ,Not found in any DB
YUBAL ,Not found in any DB
CACT1 ,Not found in any DB
POAC1 ,Not found in any DB
UKFO31 ,Not found in any DB
UKFO51 ,Not found in any DB
PORT1 ,Not found in any DB
UKFO10 ,Not found in any DB
UKFO75 ,Not found in any DB
POACE ,Not found in any DB
JUVI ,Not found in any DB
Calanoid copepodid,Not found in any DB
Harpacticoid copepod,Not found in any DB
Calanoid copepod,Not found in any DB
Cladoceran ,Not found in any DB
Cryptophyta ,Not found in any DB
Euglenophyta ,Not found in any DB
Turban snails,Not found in any DB
Compound tunicate,Not found in any DB
Diatom Mat,Not found in any DB
Sabellid worm,Not found in any DB
Bithinya tentaculata,Not found in any DB
Coelenterata ,Not found in any DB
Phylum Tardigrada,Not found in any DB
Phylum Rotifera,Not found in any DB
Phylum Brachiopoda,Not found in any DB
Pseudocolodenia dan,Not found in any DB
Lampyrid ,Not found in any DB
Cantharid ,Not found in any DB
